,Test_Num,Trial_Num,PSM_Count,PSM_Count_Diff,PSM_Hex,FLIR_Ped_Time,V2XHub_FLIR_Rx_Time,FLIR_Ped_V2XHub_Diff(s),V2XHub_FLIR_IPG(s),V2XHub_PSM_Create_Time,V2XHub_Processing_Time(s),V2XHub_RSU_Communication(s),RSU_Tx_Time,Carma_OBU_Rx_Time,psm_speed_tx,Incoming_psm_timestamp_converted,External_Object_timestamp_converted,External_Object_Speed,V2XHub_PSM_TTI(s),RSU_TTI(s),OBU_IPG(s),RSU_OBU_Latency(s),FLIR_Rx_OBU_Latency(s),FLIR_Rx_Incoming_PSM_Latency(s),Platform_Processing_Time(s),End_To_End_Latency(s),PER
0,1,2,23,,00203320000201785e519140004cdcfe8d3d4dcb7dffffffff042c420480fcfccb855e0178d693a3fed693a400010000400010000000,1653389276.188,1653389276.225,0.03699994087219238,,1653389276.226,0.0010001659393310547,0.004514694213867188,1653389276.2305148,1653389276.2312212,133,1653389276.194942,1653389276.274544,133.0,,,,0.0007064342498779298,0.006221294403076172,-0.030057907104492188,0.07960200309753418,0.04954409599304199,
1,1,2,26,1.0,00203320000203d06a519140004cdcfe673d4dcb73ffffffff0304790480fcfccb855e03d0d693a3fed693a400010000400010000000,1653389276.488,1653389276.492,0.004000186920166016,0.09599995613098143,1653389276.4929998,0.0009996891021728516,0.003975152969360352,1653389276.496975,1653389276.50115,96,1653389276.468143,1653389276.518515,96.0,0.09599971771240234,0.09575605392456056,0.09913992881774902,0.004174947738647461,0.009149789810180664,-0.02385711669921875,0.05037212371826172,0.02651500701904297,
2,1,2,28,1.0,002033200002056872519140004cdcfe633d4dcb61ffffffff0204790480fcfccb855e0568d693a3fed693a400010000400010000000,1653389276.6920002,1653389276.696,0.004000186920166016,0.10000014305114746,1653389276.697,0.0009999275207519533,0.004314899444580078,1653389276.701315,1653389276.702049,64,1653389276.66629,1653389276.7953632,64.0,0.09999990463256836,0.09969353675842284,0.0995159149169922,0.0007340908050537107,0.006048917770385742,-0.029710054397583008,0.129072904586792,0.09936285018920896,
3,1,2,30,1.0,00203320000206f87a519140004cdcfe5f3d4dcb4fffffffff023c7e0480fcfccb855e06f8d693a3fed693a400010000400010000000,1653389276.8920002,1653389276.8960001,0.004000186920166016,0.0989999771118164,1653389276.897,0.0009999275207519533,0.004333019256591797,1653389276.901333,1653389276.902186,71,1653389276.872518,1653389276.916327,71.0,0.09900021553039552,0.0995790958404541,0.0995769500732422,0.0008528232574462893,0.006185770034790039,-0.023482084274291992,0.04380893707275391,0.020326852798461914,
4,1,2,31,1.0,00203320000207c27e519140004cdcfe3c3d4dcb4fffffffff0234830480fcfccb855e07c2d693a3fed693a400010000400010000000,1653389276.9929998,1653389276.9989998,0.00599980354309082,0.10299968719482422,1653389277.0,0.0010001659393310547,0.00894021987915039,1653389277.0089402,1653389277.0097468,70,1653389276.973912,1653389277.0570881,70.0,0.10299992561340332,0.10760712623596193,0.1075608730316162,0.0008065700531005857,0.010746955871582031,-0.025087833404541016,0.0831758975982666,0.058088064193725586,
5,1,2,32,1.0,00203320000200b682519140004cdcfe3c3d4dcb4fffffffff01bc830480fcfccb855e00b6d693a3fed693a400010000400010000000,1653389277.091,1653389277.1020002,0.01100015640258789,0.10300040245056152,1653389277.103,0.0009996891021728516,0.002566099166870117,1653389277.105566,1653389277.1064909,55,1653389277.072419,1653389277.1212769,55.0,0.10299992561340332,0.09662580490112303,0.09674406051635742,0.0009248256683349607,0.00449061393737793,-0.029581308364868164,0.0488581657409668,0.01927685737609864,
6,1,2,34,1.0,00203320000202468a519140004cdcfe3a3d4dcb46ffffffff03ec970480fcfccb855e0246d693a3fed693a400010000400010000000,1653389277.291,1653389277.295,0.004000186920166016,0.0989999771118164,1653389277.296,0.0009999275207519533,0.002501964569091797,1653389277.298502,1653389277.3011718,125,1653389277.2655811,1653389277.302613,125.0,0.0989999771118164,0.09881377220153807,0.09998178482055664,0.002669811248779297,0.006171703338623047,-0.0294189453125,0.03703188896179199,0.007612943649291992,
7,1,2,39,1.0,00203320000206349e519140004cdcfdef3d4dcb23ffffffff05048d0480fcfccb855e0634d693a3fed693a400010000400010000000,1653389277.794,1653389277.799,0.005000114440917969,0.10000014305114746,1653389277.8,0.0009999275207519533,0.003485918045043945,1653389277.8034859,1653389277.8041751,160,1653389277.80551,1653389277.86294,160.0,0.09999990463256836,0.09988784790039062,0.09986495971679688,0.0006892681121826173,0.005175113677978516,0.006510019302368164,0.05743002891540527,0.06394004821777344,
8,1,2,40,1.0,00203320000206fea2519140004cdcfded3d4dcb1bffffffff02dc970480fcfccb855e06fed693a3fed693a400010000400010000000,1653389277.895,1653389277.899,0.003999948501586914,0.09999990463256836,1653389277.9,0.0010001659393310547,0.003205060958862305,1653389277.9032052,1653389277.9039464,91,1653389277.873695,1653389277.9515312,91.0,0.10000014305114746,0.09971928596496582,0.09977126121520996,0.0007412433624267577,0.004946470260620117,-0.02530503273010254,0.0778360366821289,0.05253100395202637,
9,1,2,41,1.0,00203320000207c6a6519140004cdcfdcb3d4dcb12ffffffff040c920480fcfccb855e07c6d693a3fed693a400010000400010000000,1653389277.995,1653389277.9989998,0.003999948501586914,0.09999990463256836,1653389278.0,0.0010001659393310547,0.0029850006103515625,1653389278.002985,1653389278.0036292,129,1653389277.972269,1653389278.0345528,129.0,0.09999990463256836,0.09977984428405763,0.09968280792236328,0.0006442070007324219,0.004629373550415039,-0.026730775833129883,0.062283992767333984,0.0355532169342041,
