Message Time (ms),Object ID,Map Position X (m),Map Position Y (m)
12200.000182,222,239.6227569580078,173.47711181640625
12200.000182,223,245.94436645507812,173.2357635498047
12200.000182,224,251.669921875,174.9106903076172
12300.000183,222,239.7919921875,173.39234924316406
12300.000183,223,245.88783264160156,173.41470336914062
12300.000183,224,251.6103057861328,174.87606811523438
12300.000183,222,239.7919921875,173.39234924316406
12300.000183,223,245.88783264160156,173.41470336914062
12300.000183,224,251.6103057861328,174.87606811523438
12500.000186,222,239.61386108398438,173.475830078125
12500.000186,223,245.82418823242188,173.37413024902344
12500.000186,224,251.703857421875,174.98475646972656
12600.000188,222,239.74705505371094,173.5243682861328
12600.000188,223,245.85362243652344,173.42919921875
12600.000188,224,251.73208618164062,175.20455932617188
12700.00019,222,239.89503479003906,173.28184509277344
12700.00019,223,245.76760864257812,173.41990661621094
12700.00019,224,251.81045532226562,175.1578369140625
12800.00019,222,240.02505493164062,173.22323608398438
12800.00019,223,245.66329956054688,173.5904083251953
12800.00019,224,251.64430236816406,175.1046905517578
12900.000193,222,240.01071166992188,173.24990844726562
12900.000193,223,245.64707946777344,173.49655151367188
12900.000193,224,251.682861328125,175.01150512695312
13000.000193,222,239.81710815429688,173.2146453857422
13000.000193,223,245.76206970214844,173.54385375976562
13000.000193,224,251.57891845703125,174.95663452148438
13100.000195999999,222,239.78675842285156,173.35723876953125
13100.000195999999,223,245.8000030517578,173.31201171875
13100.000195999999,224,251.745361328125,175.28250122070312
13200.000195999999,222,239.69757080078125,173.43231201171875
13200.000195999999,223,245.7967529296875,173.12599182128906
13200.000195999999,224,251.70497131347656,175.1463165283203
13300.000199,222,239.85092163085938,173.30528259277344
13300.000199,223,245.81471252441406,173.2680206298828
13300.000199,224,251.85482788085938,174.9431610107422
13400.000199,222,239.9231719970703,173.46490478515625
13400.000199,223,245.91395568847656,173.2863311767578
13400.000199,224,251.7862548828125,175.0957489013672
13500.000201,222,239.75054931640625,173.48114013671875
13500.000201,223,245.94073486328125,173.24609375
13500.000201,224,251.7085418701172,174.99440002441406
13600.000203,222,239.8693084716797,173.25009155273438
13600.000203,223,245.91946411132812,173.2703094482422
13600.000203,224,251.6502227783203,174.8509063720703
13700.000204,222,239.74070739746094,173.3314666748047
13700.000204,223,245.9185791015625,173.18154907226562
13700.000204,224,251.54652404785156,174.7844696044922
13800.000206,222,239.82447814941406,173.51629638671875
13800.000206,223,245.66453552246094,173.36766052246094
13800.000206,224,251.83358764648438,175.05723571777344
13900.000205999999,222,240.01785278320312,173.43914794921875
13900.000205999999,223,245.69778442382812,173.30172729492188
13900.000205999999,224,251.92088317871094,175.01217651367188
14000.000209,222,239.808349609375,173.49835205078125
14000.000209,223,245.80862426757812,173.22296142578125
14000.000209,224,251.80564880371094,174.86021423339844
14100.000209,222,239.80780029296875,173.44204711914062
14100.000209,223,245.7313232421875,173.27154541015625
14100.000209,224,251.78823852539062,174.9970245361328
14200.000212,222,239.92379760742188,173.4131317138672
14200.000212,223,245.88490295410156,173.4031524658203
14200.000212,224,251.65603637695312,175.04660034179688
14300.000213000001,222,239.8447723388672,173.52587890625
14300.000213000001,223,245.68572998046875,173.3118438720703
14300.000213000001,224,251.6356201171875,175.05393981933594
14400.000214,222,239.6914825439453,173.4587860107422
14400.000214,223,245.75376892089844,173.39492797851562
14400.000214,224,251.72659301757812,175.18209838867188
14500.000216,222,239.7261962890625,173.35289001464844
14500.000216,223,245.6392364501953,173.3455352783203
14500.000216,224,251.64984130859375,175.1810302734375
14600.000217,222,239.68577575683594,173.3506622314453
14600.000217,223,245.5411376953125,173.47169494628906
14600.000217,224,251.71531677246094,175.0508575439453
14700.000219,222,239.7201385498047,173.3556365966797
14700.000219,223,245.62474060058594,173.6309356689453
14700.000219,224,251.7220916748047,174.94850158691406
14800.00022,222,239.84445190429688,173.5098419189453
14800.00022,223,245.745849609375,173.51881408691406
14800.00022,224,251.74185180664062,174.91404724121094
14900.000221999999,222,239.82154846191406,173.30517578125
14900.000221999999,223,245.83895874023438,173.49386596679688
14900.000221999999,224,251.721435546875,174.89942932128906
15000.000224000001,222,239.77435302734375,173.34019470214844
15000.000224000001,223,245.67263793945312,173.5621795654297
15000.000224000001,224,251.63674926757812,174.9524383544922
15100.000224000001,222,239.86888122558594,173.44850158691406
15100.000224000001,223,245.7169952392578,173.40036010742188
15100.000224000001,224,251.6625213623047,174.99655151367188
15200.000227,222,239.76478576660156,173.3467254638672
15200.000227,223,245.79344177246094,173.34805297851562
15200.000227,224,251.764404296875,175.13035583496094
15300.000227,222,239.9086151123047,173.47032165527344
15300.000227,223,245.78958129882812,173.32911682128906
15300.000227,224,251.63795471191406,175.0879364013672
15400.00023,222,239.9653778076172,173.4429473876953
15400.00023,223,245.5575714111328,173.37380981445312
15400.00023,224,251.6136932373047,174.95989990234375
15500.00023,222,239.8506622314453,173.341796875
15500.00023,223,245.5782470703125,173.34353637695312
15500.00023,224,251.62269592285156,174.91213989257812
15600.000232999999,222,239.7108612060547,173.2821044921875
15600.000232999999,223,245.75929260253906,173.29730224609375
15600.000232999999,224,251.7397918701172,174.9057159423828
15700.000233,222,239.59832763671875,173.4980010986328
15700.000233,223,245.724609375,173.34384155273438
15700.000233,224,251.6152801513672,174.97630310058594
15800.000235000001,222,239.7943572998047,173.5431671142578
15800.000235000001,223,245.70208740234375,173.34231567382812
15800.000235000001,224,251.88607788085938,174.9954833984375
15900.000237,222,239.74794006347656,173.540771484375
15900.000237,223,245.76251220703125,173.2268829345703
15900.000237,224,251.89869689941406,174.9947967529297
16000.000237999999,222,239.6430206298828,173.5316619873047
16000.000237999999,223,245.70480346679688,173.3298797607422
16000.000237999999,224,251.9062957763672,174.89466857910156
16100.00024,222,239.64163208007812,173.33544921875
16100.00024,223,245.7809295654297,173.4018096923828
16100.00024,224,251.96591186523438,175.03683471679688
16200.000241000002,222,239.69664001464844,173.24383544921875
16200.000241000002,223,246.05531311035156,173.41220092773438
16200.000241000002,224,251.78590393066406,175.09231567382812
16300.000242999999,222,239.675537109375,173.417724609375
16300.000242999999,223,245.86276245117188,173.30319213867188
16300.000242999999,224,251.82901000976562,175.00344848632812
16400.000244000003,222,239.73391723632812,173.40847778320312
16400.000244000003,223,245.9236602783203,173.5078582763672
16400.000244000003,224,251.82699584960938,174.98193359375
16500.000246,222,239.93502807617188,173.3570098876953
16500.000246,223,245.79693603515625,173.39109802246094
16500.000246,224,251.6979522705078,174.93423461914062
16600.000248,222,239.90438842773438,173.51272583007812
16600.000248,223,245.77816772460938,173.4191436767578
16600.000248,224,251.7405242919922,174.98956298828125
16700.000248,222,239.75733947753906,173.34561157226562
16700.000248,223,245.8109130859375,173.38137817382812
16700.000248,224,251.8038787841797,174.98568725585938
16800.000251,222,239.85147094726562,173.44517517089844
16800.000251,223,245.93667602539062,173.3038787841797
16800.000251,224,251.7931671142578,174.94020080566406
16900.000251,222,239.7785186767578,173.43841552734375
16900.000251,223,245.86778259277344,173.32620239257812
16900.000251,224,251.80934143066406,174.99533081054688
17000.000254,222,239.8980255126953,173.51438903808594
17000.000254,223,245.97915649414062,173.34239196777344
17000.000254,224,251.66038513183594,175.004150390625
17000.000254,222,239.8980255126953,173.51438903808594
17000.000254,223,245.97915649414062,173.34239196777344
17000.000254,224,251.66038513183594,175.004150390625
17200.000257,222,239.81600952148438,173.58648681640625
17200.000257,223,246.0594482421875,173.4958953857422
17200.000257,224,251.6240234375,174.95547485351562
17200.000257,222,239.81600952148438,173.58648681640625
17200.000257,223,246.0594482421875,173.4958953857422
17200.000257,224,251.6240234375,174.95547485351562
17400.000259,222,239.68894958496094,173.53115844726562
17400.000259,223,246.03646850585938,173.6098175048828
17400.000259,224,251.66305541992188,174.87449645996094
17500.000261,222,239.9158935546875,173.3807373046875
17500.000261,223,245.96327209472656,173.4448699951172
17500.000261,224,251.7377471923828,174.97145080566406
17600.000262,222,239.9687957763672,173.2434539794922
17600.000262,223,245.78829956054688,173.36541748046875
17600.000262,224,251.94802856445312,174.90008544921875
17700.000264,222,239.8255615234375,173.14768981933594
17700.000264,223,245.6638946533203,173.3831329345703
