Message Time (ms),Map Position X (m),Map Position Y (m),Map Velocity X (mps),Map Velocity Y (mps)
83800.00124900001,250.39329528808594,179.0,0.17734374105930328,-0.0
83900.00125100001,250.42433166503906,179.0,0.35468748211860657,-0.0
84000.001252,250.4730987548828,179.0,0.532031238079071,-0.0
84100.001254,250.5395965576172,179.0,0.7093749642372131,-0.0
84200.00125500001,250.62384033203125,179.0,0.88671875,-0.0
84300.00125700001,250.72581481933594,179.0,1.064062476158142,-0.0
84400.001258,250.84344482421875,179.0,1.1999999284744263,-0.0
84500.00126,250.9634552001953,179.0,1.1999999284744263,-0.0
84600.001261,251.0834503173828,179.0,1.1999999284744263,-0.0
84700.001262,251.2034454345703,179.0,1.1999999284744263,-0.0
84800.001264,251.32345581054688,179.0,1.1999999284744263,-0.0
84900.001265,251.44345092773438,179.0,1.1999999284744263,-0.0
85000.001267,251.56344604492188,179.0,1.1999999284744263,-0.0
85100.00126799999,251.68345642089844,179.0,1.1999999284744263,-0.0
85200.00127000001,251.80345153808594,179.0,1.1999999284744263,-0.0
85300.001271,251.92344665527344,179.0,1.1999999284744263,-0.0
85400.001273,252.04345703125,179.0,1.1999999284744263,-0.0
85500.001274,252.1634521484375,179.0,1.1999999284744263,-0.0
85600.001276,252.283447265625,179.0,1.1999999284744263,-0.0
85700.001277,252.40345764160156,179.0,1.1999999284744263,-0.0
85800.001279,252.52345275878906,179.0,1.1999999284744263,-0.0
85900.00128,252.64344787597656,179.0,1.1999999284744263,-0.0
86000.001282,252.76345825195312,179.0,1.1999999284744263,-0.0
86100.00128299999,252.88345336914062,179.0,1.1999999284744263,-0.0
86200.001285,253.00344848632812,179.0,1.1999999284744263,-0.0
86300.001286,253.1234588623047,179.0,1.1999999284744263,-0.0
86400.001288,253.2434539794922,179.0,1.1999999284744263,-0.0
86500.00128899999,253.3634490966797,179.0,1.1999999284744263,-0.0
86600.001291,253.4834442138672,179.0,1.1999999284744263,-0.0
86700.001292,253.60345458984375,179.0,1.1999999284744263,-0.0
86800.001294,253.72344970703125,179.0,1.1999999284744263,-0.0
86900.001295,253.84344482421875,179.0,1.1999999284744263,-0.0
87000.001297,253.9634552001953,179.0,1.1999999284744263,-0.0
87100.00129799999,254.0834503173828,179.0,1.1999999284744263,-0.0
87200.0013,254.2034454345703,179.0,1.1999999284744263,-0.0
87300.001301,254.32345581054688,179.0,1.1999999284744263,-0.0
87400.001303,254.44345092773438,179.0,1.1999999284744263,-0.0
87500.00130399999,254.56344604492188,179.0,1.1999999284744263,-0.0
87600.00130599999,254.68345642089844,179.0,1.1999999284744263,-0.0
87700.001307,254.80345153808594,179.0,1.1999999284744263,-0.0
87800.001309,254.92344665527344,179.0,1.1999999284744263,-0.0
87900.00130999999,255.04345703125,179.0,1.1999999284744263,-0.0
88000.001312,255.1634521484375,179.0,1.1999999284744263,-0.0
88100.001313,255.283447265625,179.0,1.1999999284744263,-0.0
88200.001315,255.40345764160156,179.0,1.1999999284744263,-0.0
88300.00131600001,255.52345275878906,179.0,1.1999999284744263,-0.0
88400.001318,255.64344787597656,179.0,1.1999999284744263,-0.0
88500.001319,255.76345825195312,179.0,1.1999999284744263,-0.0
88600.00132099999,255.88345336914062,179.0,1.1999999284744263,-0.0
88700.00132200001,256.0034484863281,179.0,1.1999999284744263,-0.0
88800.001324,256.1234436035156,179.0,1.1999999284744263,-0.0
88900.001325,256.2434387207031,179.0,1.1999999284744263,-0.0
89000.001327,256.36346435546875,179.0,1.1999999284744263,-0.0
89100.001328,256.48345947265625,179.0,1.1999999284744263,-0.0
89200.00133,256.60345458984375,179.0,1.1999999284744263,-0.0
89300.001331,256.72344970703125,179.0,1.1999999284744263,-0.0
89400.00133300001,256.84344482421875,179.0,1.1999999284744263,-0.0
89500.001334,256.96343994140625,179.0,1.1999999284744263,-0.0
89600.001336,257.0834655761719,179.0,1.1999999284744263,-0.0
89700.00133700001,257.2034606933594,179.0,1.1999999284744263,-0.0
89800.001338,257.3234558105469,179.0,1.1999999284744263,-0.0
89900.00134,257.4434509277344,179.0,1.1999999284744263,-0.0
90000.001341,257.5634460449219,179.0,1.1999999284744263,-0.0
90100.001343,257.6834411621094,179.0,1.1999999284744263,-0.0
90200.001344,257.8034362792969,179.0,1.1999999284744263,-0.0
90300.001346,257.9234619140625,179.0,1.1999999284744263,-0.0
90400.001347,258.04345703125,179.0,1.1999999284744263,-0.0
90500.001349,258.1634521484375,179.0,1.1999999284744263,-0.0
90600.00135,258.283447265625,179.0,1.1999999284744263,-0.0
90700.001352,258.4034423828125,179.0,1.1999999284744263,-0.0
90800.001353,258.5234375,179.0,1.1999999284744263,-0.0
90900.001355,258.6434631347656,179.0,1.1999999284744263,-0.0
91000.001356,258.7634582519531,179.0,1.1999999284744263,-0.0
91100.001358,258.8834533691406,179.0,1.1999999284744263,-0.0
91200.001359,259.0034484863281,179.0,1.1999999284744263,-0.0
91300.001361,259.1234436035156,179.0,1.1999999284744263,-0.0
91400.001362,259.2434387207031,179.0,1.1999999284744263,-0.0
91500.001364,259.36346435546875,179.0,1.1999999284744263,-0.0
91600.001365,259.48345947265625,179.0,1.1999999284744263,-0.0
91700.001367,259.60345458984375,179.0,1.1999999284744263,-0.0
91800.001368,259.72344970703125,179.0,1.1999999284744263,-0.0
91900.00137,259.84344482421875,179.0,1.1999999284744263,-0.0
92000.00137099999,259.96343994140625,179.0,1.1999999284744263,-0.0
92100.00137299999,260.0834655761719,179.0,1.1999999284744263,-0.0
92200.001374,260.2034606933594,179.0,1.1999999284744263,-0.0
