condition,run,object_id,t_flir_detect,t_flir_log,t_streets_rx,t_kafka_produce,t_kafka_sdo_create,t_sdss_consume,t_sdss_send,t_kafka_sdsm_create,t_streets_sdsm_rx,t_streets_encode,t_pc2_tena_rx,t_pc2_tena_tx,sdsm_uper_hex,t_pc1_tena_rx,t_pc1_bus,t_immediate_fwd,t_rsu_broadcast,t_ros_inbound,t_ros_j3224,t_ros_fused,t_obu_radio_rx,stages_reached,reached_vehicle,last_stage_reached,d_flir_detect__flir_log_ms,d_flir_log__streets_rx_ms,d_streets_rx__kafka_produce_ms,d_kafka_produce__kafka_sdo_create_ms,d_kafka_sdo_create__sdss_consume_ms,d_sdss_consume__sdss_send_ms,d_sdss_send__kafka_sdsm_create_ms,d_kafka_sdsm_create__streets_sdsm_rx_ms,d_streets_sdsm_rx__streets_encode_ms,d_streets_encode__pc2_tena_rx_ms,d_pc2_tena_rx__pc2_tena_tx_ms,d_pc2_tena_tx__pc1_tena_rx_ms,d_pc1_tena_rx__pc1_bus_ms,d_pc1_bus__immediate_fwd_ms,d_immediate_fwd__rsu_broadcast_ms,d_rsu_broadcast__obu_radio_rx_ms,d_obu_radio_rx__ros_inbound_ms,d_ros_inbound__ros_j3224_ms,d_ros_j3224__ros_fused_ms,lat_flir_log_ms,lat_streets_rx_ms,lat_kafka_produce_ms,lat_kafka_sdo_create_ms,lat_sdss_consume_ms,lat_sdss_send_ms,lat_kafka_sdsm_create_ms,lat_streets_sdsm_rx_ms,lat_streets_encode_ms,lat_pc2_tena_rx_ms,lat_pc2_tena_tx_ms,lat_pc1_tena_rx_ms,lat_pc1_bus_ms,lat_immediate_fwd_ms,lat_rsu_broadcast_ms,lat_obu_radio_rx_ms,lat_ros_inbound_ms,lat_ros_j3224_ms,lat_ros_fused_ms
5sec,5sec_run1,15837,1789411951896,1789411951909,1789411951909,1789411951910,1789411951910,1789411951916,1789411951952,1789411951952,1789411951958,1789411951958,1789411951959,1789411951959,0029322b313233343fdfaa5d2d1f341a4299b9055e7a9bd50e2000000000000160590f7758500c6663fd63fffff8146800232a0880,1789411951961,1789411951962,1789411951962,1789411951967.459,1789411951976.5271,1789411951978.6821,1789411952129.0999,1789411951977.4119,20,True,t_ros_fused,13,0,1,0,6,36,0,6,0,1,0,2,1,0,5.458984375,9.952880859375,-0.884765625,2.155029296875,150.417724609375,13,13,14,14,20,56,56,62,62,63,63,65,66,66,71.458984375,81.411865234375,80.527099609375,82.68212890625,233.099853515625
5sec,5sec_run1,15837,1789411951990,1789411952000,1789411952000,1789411952000,1789411952000,1789411952006,1789411952053,1789411952053,1789411952059,1789411952059,1789411952059,1789411952059,0029322c313233343fdfaa5d2d1f4d1a4299b9055e7a9bd50e2000000000000160590f7758680c663bfd63fffff81fe80023a6f880,1789411952062,1789411952062,1789411952062,1789411952067.2158,1789411952077.0222,1789411952129.7666,1789411952132.2551,1789411952077.897,20,True,t_ros_fused,10,0,0,0,6,47,0,6,0,0,0,3,0,0,5.2158203125,10.68115234375,-0.874755859375,52.744384765625,2.488525390625,10,10,10,10,16,63,63,69,69,69,69,72,72,72,77.2158203125,87.89697265625,87.022216796875,139.7666015625,142.255126953125
5sec,5sec_run1,15837,1789411952091,1789411952101,1789411952102,1789411952102,1789411952102,1789411952108,1789411952152,1789411952152,1789411952158,1789411952158,1789411952159,1789411952159,0029322d313233343fdfaa5d2d1f661a4299b9055e7a9bd50e2000000000000160590f7758640c663bfd63fffff81ae80023930880,1789411952161,1789411952161,1789411952161,1789411952166.332,1789411952177.6274,1789411952219.0276,1789411952414.0037,1789411952177.533,20,True,t_ros_fused,10,1,0,0,6,44,0,6,0,1,0,2,0,0,5.33203125,11.200927734375,0.094482421875,41.400146484375,194.97607421875,10,11,11,11,17,61,61,67,67,68,68,70,70,70,75.33203125,86.532958984375,86.62744140625,128.027587890625,323.003662109375
5sec,5sec_run1,15837,1789411952191,1789411952203,1789411952203,1789411952203,1789411952203,1789411952209,1789411952253,1789411952253,1789411952258,1789411952259,1789411952259,1789411952259,0029322e313233343fdfaa5d2d1f7f1a4299b9055e7a9bd50e2000000000000160590f7758640c6633fd63fffff81c280023930880,1789411952261,1789411952261,1789411952262,1789411952266.7761,1789411952275.998,1789411952297.4158,1789411952414.0037,1789411952276.4609,20,True,t_ros_fused,12,0,0,0,6,44,0,5,1,0,0,2,0,1,4.776123046875,9.684814453125,-0.462890625,21.417724609375,116.587890625,12,12,12,12,18,62,62,67,68,68,68,70,70,71,75.776123046875,85.4609375,84.998046875,106.415771484375,223.003662109375
5sec,5sec_run1,15837,1789411952291,1789411952304,1789411952305,1789411952305,1789411952305,1789411952311,1789411952352,1789411952352,1789411952359,1789411952359,1789411952359,1789411952359,0029322f313233343fdfaa5d2d1f981a4299b9055e7a9bd50e2000000000000160590f7758640c6633fd63fffff81b680023930880,1789411952361,1789411952362,1789411952362,1789411952367.4519,1789411952378.7866,1789411952414.2217,1789411952415.2683,1789411952378.9001,20,True,t_ros_fused,13,1,0,0,6,41,0,7,0,0,0,2,1,0,5.451904296875,11.4482421875,-0.113525390625,35.43505859375,1.046630859375,13,14,14,14,20,61,61,68,68,68,68,70,71,71,76.451904296875,87.900146484375,87.78662109375,123.2216796875,124.268310546875
5sec,5sec_run1,15837,1789411952392,1789411952406,1789411952407,1789411952407,1789411952407,1789411952415,1789411952452,1789411952452,1789411952459,1789411952459,1789411952459,1789411952459,00293230313233343fdfaa5d2d1fb11a4299b9055e7a9bd50e2000000000000160590f7758600c6633fd63fffff810280023930880,1789411952462,1789411952462,1789411952462,1789411952467.47,1789411952479.4387,1789411952495.5847,1789411952520.7727,1789411952480.364,20,True,t_ros_fused,14,1,0,0,8,37,0,7,0,0,0,3,0,0,5.469970703125,12.89404296875,-0.92529296875,16.14599609375,25.18798828125,14,15,15,15,23,60,60,67,67,67,67,70,70,70,75.469970703125,88.364013671875,87.438720703125,103.584716796875,128.772705078125
5sec,5sec_run1,15837,1789411952493,1789411952507,1789411952507,1789411952507,1789411952507,1789411952514,1789411952552,1789411952552,1789411952559,1789411952559,1789411952559,1789411952559,00293231313233343fdfaa5d2d1fca1a4299b9055e7a9bd50e2000000000000160590f77585c0c661bfd63fffff808f00023930880,1789411952562,1789411952562,1789411952562,1789411952567.866,1789411952576.0652,1789411952577.7395,1789411952589.0264,1789411952576.9849,20,True,t_ros_fused,14,0,0,0,7,38,0,7,0,0,0,3,0,0,5.865966796875,9.118896484375,-0.919677734375,1.67431640625,11.286865234375,14,14,14,14,21,59,59,66,66,66,66,69,69,69,74.865966796875,83.98486328125,83.065185546875,84.739501953125,96.0263671875
5sec,5sec_run1,15837,1789411952594,1789411952608,1789411952609,1789411952609,1789411952609,1789411952618,1789411952652,1789411952652,1789411952658,1789411952658,1789411952659,1789411952659,00293232313233343fdfaa5d2d1fe31a4299b9055e7a9bd50e2000000000000160590f7758580c6613fd63fffff80d280023930880,1789411952662,1789411952662,1789411952662,1789411952667.5879,1789411952676.3499,1789411952678.3801,1789411952688.4692,1789411952676.7029,20,True,t_ros_fused,14,1,0,0,9,34,0,6,0,1,0,3,0,0,5.587890625,9.114990234375,-0.35302734375,2.0302734375,10.089111328125,14,15,15,15,24,58,58,64,64,65,65,68,68,68,73.587890625,82.702880859375,82.349853515625,84.380126953125,94.46923828125
5sec,5sec_run1,15837,1789411952693,1789411952699,1789411952700,1789411952700,1789411952700,1789411952706,1789411952753,1789411952753,1789411952759,1789411952759,1789411952759,1789411952759,00293233313233343fdfaa5d2d1ffc1a4299b9055e7a9bd50e2000000000000160590f77585c0c65f3fd63fffff813e80023980880,1789411952762,1789411952762,1789411952762,1789411952772.261,1789411952783.1055,1789411952812.5996,1789411952938.1448,1789411952784.0911,20,True,t_ros_fused,6,1,0,0,6,47,0,6,0,0,0,3,0,0,10.260986328125,11.830078125,-0.985595703125,29.494140625,125.545166015625,6,7,7,7,13,60,60,66,66,66,66,69,69,69,79.260986328125,91.091064453125,90.10546875,119.599609375,245.144775390625
5sec,5sec_run1,15837,1789411952794,1789411952802,1789411952803,1789411952803,1789411952803,1789411952809,1789411952852,1789411952852,1789411952860,1789411952860,1789411952861,1789411952861,00293234313233343fdfaa5d2d20151a4299b9055e7a9bd50e2000000000000160590f7758580c65ebfd63fffff8166800239d0880,1789411952863,1789411952863,1789411952864,1789411952869.252,1789411952880.6953,1789411952883.8486,1789411952938.1448,1789411952881.7129,20,True,t_ros_fused,8,1,0,0,6,43,0,8,0,1,0,2,0,1,5.251953125,12.4609375,-1.017578125,3.1533203125,54.296142578125,8,9,9,9,15,58,58,66,66,67,67,69,69,70,75.251953125,87.712890625,86.6953125,89.8486328125,144.144775390625
